term,estimate,std_error,t_stat,p_value
log_ongoing_rent,0.73885481330067,0.00885789768714615,83.4119832263174,0
plaintiff_typeFor-profit corp,-0.0188926352042126,0.0101655408744856,-1.85849778555622,0.063106202980067
plaintiff_typeNonprofit,-0.051613147740574,0.0362143673295567,-1.42521191302021,0.154104293408569
plaintiff_typePHA,-0.526503378798866,0.0401740694109526,-13.1055525745501,3.73312345570774e-39
owner_typeFor-profit corp,0.0246010791314043,0.0114316437143284,2.15201590831328,0.0314024772916584
owner_typeNonprofit,-0.00608029934253496,0.0354506990708938,-0.1715142296736,0.863820369890109
owner_typePHA,0.0971115226992687,0.0501678587866,1.93573186195476,0.0529080721139523
owner_typeReligious,-0.143919974248877,0.0801590964058557,-1.79542909915292,0.0725934244096571
owner_typeTrust,-0.0441290901761433,0.0399078048436484,-1.10577593403178,0.268830622286812
owner_typeGovernment-Local,0.0749299439269998,0.115432704918932,0.64912230879128,0.516263306757589
owner_typeFinancial-Intermediary,-0.0526267442240683,0.0474696675254632,-1.1086394105423,0.267592893916523
high_filer_bldgTRUE,-0.124701108834221,0.00707316342146105,-17.6301749873132,2.75715736942865e-69
log(portfolio_size_conglomerate_yr),-0.00598361406134172,0.00278577806951615,-2.14791484175227,0.0317269210715668
pct_black,0.00557642356813674,0.0143581005314931,0.388381705219671,0.697735790137005
