year,market_group,n_markets,total_units,weighted_mean_hhi,weighted_mean_top1,weighted_mean_top3,weighted_mean_corp_share,median_n_owners
2011,Lower-filing (<=5%),50,248916,113.493661823393,6.16874768998377,10.8249369265134,35.8703337672146,1915.5
2019,Lower-filing (<=5%),51,272511,112.296774148536,5.89554183133892,10.6182869682325,40.0108619468572,1887
2011,High-filing (>5%),52,97893,203.200735611914,7.19152544104277,14.8866619676586,43.3360914467837,518.5
2019,High-filing (>5%),53,101381,208.652356570689,7.16899616298912,15.4644361369487,48.5110622305955,496
