year,market_group,n_markets,total_units,weighted_mean_hhi,weighted_mean_top1,weighted_mean_top3,weighted_mean_corp_share,median_n_owners
2011,All ZIPs,55,346809,84.1221946577595,4.91538570221649,9.12144725194559,37.9776764732172,2434
2019,All ZIPs,57,373892,85.1660484612202,4.76073304590631,9.03282231232548,42.3156954414644,2044
