deed_type,n_transfers,median_units,median_violations,mean_filing_rate,median_rent,median_price,median_price_per_unit
Sheriff,23163,1,0,0.0542,925,21000,19000
Regular,207226,1,0,0.0514,1200,115000,1e+05
