building_type,n_buildings,mean_transfers,median_transfers,pct_flipped
ROW,93976,1.81,2,50.8
SMALL_MULTI_2_4,14801,1.62,1,41.3
TWIN,12940,1.72,1,47.3
OTHER,3813,1.4,1,29.8
DETACHED,2517,1.71,1,48
LOWRISE_MULTI,2032,1.48,1,34.1
COMMERCIAL,698,1.45,1,33.1
MIDRISE_MULTI,586,1.38,1,29.7
HIGHRISE_MULTI,66,1.59,1,45.5
